City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
110,Tias,ES,28.9611,-13.645,64.15,82,20,11.5,few clouds,2021-12-04 08:23:27
111,Rize,TR,40.9044,40.8949,41.45,48,1,3.89,clear sky,2021-12-04 08:23:28
112,Bell Ville,AR,-32.6259,-62.6887,62.8,52,82,7.7,broken clouds,2021-12-04 08:23:28
113,Itarema,BR,-2.9248,-39.9167,81.3,71,84,13.22,broken clouds,2021-12-04 08:23:28
114,Saraland,US,30.8207,-88.0706,55.65,92,100,2.89,overcast clouds,2021-12-04 08:23:29
115,Dwarka,IN,22.2394,68.9678,79.23,46,0,11.21,clear sky,2021-12-04 08:18:50
116,Berbera,SO,10.4396,45.0143,82.22,53,0,11.34,clear sky,2021-12-04 08:23:29
117,Masindi,UG,1.6744,31.715,82.47,49,98,2.13,overcast clouds,2021-12-04 08:23:30
118,Rundu,NA,-17.9333,19.7667,87.03,37,100,5.61,overcast clouds,2021-12-04 08:23:30
119,Catamarca,AR,-28.4696,-65.7852,73.78,68,97,5.01,overcast clouds,2021-12-04 08:20:44
120,Kapoeta,SS,4.7717,33.5903,90.64,33,8,22.82,clear sky,2021-12-04 08:23:30
121,Saint-Francois,FR,46.4154,3.9054,49.68,90,90,8.05,light rain,2021-12-04 08:23:31
122,Yenagoa,NG,4.9247,6.2642,82.83,76,99,2.28,overcast clouds,2021-12-04 08:23:31
123,Kuryk,KZ,43.2,51.65,47.82,64,66,24.54,broken clouds,2021-12-04 08:23:31
124,Grand Gaube,MU,-20.0064,57.6608,86.4,66,3,8.01,clear sky,2021-12-04 08:23:32
125,Sambava,MG,-14.2667,50.1667,84.09,64,10,11.95,clear sky,2021-12-04 08:23:32
126,Vredendal,ZA,-31.6683,18.5012,65.01,78,100,9.98,light rain,2021-12-04 08:23:32
127,Fomboni,KM,-12.28,43.7425,81.91,73,12,8.37,few clouds,2021-12-04 08:23:33
128,Guarapari,BR,-20.6667,-40.4975,69.89,90,92,4.94,overcast clouds,2021-12-04 08:23:33
129,Saint Anthony,US,45.0205,-93.218,32.25,63,1,1.99,clear sky,2021-12-04 08:23:33
130,Porto Novo,BJ,6.4965,2.6036,84.02,73,99,1.9,overcast clouds,2021-12-04 08:23:34
131,Plettenberg Bay,ZA,-34.0527,23.3716,65.62,72,100,8.7,overcast clouds,2021-12-04 08:23:34
132,Tocache,PE,-8.1842,-76.5125,70.07,95,100,0.63,overcast clouds,2021-12-04 08:23:34
133,Obigarm,TJ,38.7173,69.7088,52.65,23,100,1.81,overcast clouds,2021-12-04 08:23:35
134,Grindavik,IS,63.8424,-22.4338,30.67,100,20,3.44,few clouds,2021-12-04 08:23:35
135,Jiblah,YE,13.9216,44.1467,64.92,26,0,2.57,clear sky,2021-12-04 08:24:35
136,Mehamn,NO,71.0357,27.8492,17.15,78,52,12.73,broken clouds,2021-12-04 08:24:35
137,Aksay,RU,47.26,39.87,53.82,70,100,11.99,overcast clouds,2021-12-04 08:24:36
138,Havelock,US,34.8791,-76.9013,53.55,86,49,5.03,scattered clouds,2021-12-04 08:24:36
139,Forecariah,GN,9.4306,-13.0881,80.46,86,25,1.32,scattered clouds,2021-12-04 08:24:37
140,Maunabo,PR,18.0072,-65.8993,78.71,90,11,10.36,few clouds,2021-12-04 08:24:37
141,Iskateley,RU,67.6803,53.1512,-15.09,100,28,1.79,scattered clouds,2021-12-04 08:24:37
142,Quepos,CR,9.4236,-84.1652,79.9,86,34,3.42,scattered clouds,2021-12-04 08:24:38
143,Warrington,GB,53.3925,-2.5802,43.99,87,75,10.0,broken clouds,2021-12-04 08:24:38
144,Kulhudhuffushi,MV,6.6221,73.07,81.9,74,45,4.76,scattered clouds,2021-12-04 08:24:38
145,Kristiinankaupunki,FI,62.2743,21.376,14.54,89,62,10.09,broken clouds,2021-12-04 08:24:39
146,Butembo,CD,0.15,29.2833,74.44,49,94,2.66,overcast clouds,2021-12-04 08:24:39
147,Vieux-Habitants,GP,16.0589,-61.7659,72.97,80,87,10.25,overcast clouds,2021-12-04 08:24:39
148,Kuhdasht,IR,33.535,47.6061,53.11,27,9,1.54,clear sky,2021-12-04 08:24:40
149,Koungheul,SN,13.9833,-14.8,76.93,17,91,5.97,overcast clouds,2021-12-04 08:24:40
150,Tessalit,ML,20.1986,1.0114,67.14,19,32,12.91,scattered clouds,2021-12-04 08:24:40
151,Cervo,ES,43.6702,-7.4101,57.2,80,66,15.88,broken clouds,2021-12-04 08:24:41
