City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Tonj,SS,89.28,broken clouds,7.2737,28.6822,Lakan Hotel
478,Mandera,KE,89.08,few clouds,3.9366,41.867,Mwalimu Guest mandera
479,Bedele,ET,75.51,overcast clouds,8.456,36.353,Central Hotel
483,Banda Aceh,ID,85.08,broken clouds,5.5577,95.3222,Sulthan Hotel International
489,Lisala,CD,88.88,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
494,Acarau,BR,81.54,broken clouds,-2.8856,-40.12,castelo pizzaria
496,Bani,DO,76.86,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
500,Umarkot,PK,84.16,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
512,Jalna,IN,81.91,broken clouds,19.8333,75.8833,Hotel Shivneri Palace
514,Cockburn Town,TC,79.03,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
515,Chitungwiza,ZW,83.44,clear sky,-18.0127,31.0756,Damview Hotel
520,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
526,Puerto Carreno,CO,75.65,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
528,Umm Lajj,SA,80.58,clear sky,25.0213,37.2685,Moon light Furnished Units
529,Winneba,GH,82.87,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
546,Manacapuru,BR,75.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
556,Mondlo,ZA,85.57,broken clouds,-27.983,30.7177,KwaXaba
558,Morant Bay,JM,80.65,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
561,Nargana,PA,79.56,overcast clouds,9.4428,-78.5906,Dubbir
563,Heilbron,ZA,80.37,light rain,-27.2812,27.9709,Guest house
577,Santa Rosa,PH,82.38,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
579,Colombo,LK,85.95,broken clouds,6.9319,79.8478,Galle Face Hotel
582,Lakota,CI,82.36,broken clouds,5.8528,-5.6883,Aziz bah divers
586,Arboletes,CO,77.25,overcast clouds,8.8505,-76.4269,Hotel Playa Star
598,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
