City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Henties Bay,NA,2021-11-28 04:04:21,-22.116,14.2845,56.97,90,0,4.7
67,Mar Del Plata,AR,2021-11-28 04:02:36,-38.0023,-57.5575,62.19,91,100,14.25
68,Gorom-Gorom,BF,2021-11-28 04:04:21,14.4439,-0.2361,75.88,17,15,8.77
69,Tukrah,LY,2021-11-28 03:54:54,32.5341,20.5791,67.53,68,68,5.61
70,Wattegama,LK,2021-11-28 04:04:22,6.7989,81.4808,77.92,70,61,1.86
71,Goderich,CA,2021-11-28 03:59:32,43.7501,-81.7165,26.92,93,100,5.75
72,Sorland,NO,2021-11-28 04:04:22,67.667,12.6934,33.84,83,100,17.67
73,Nohar,IN,2021-11-28 04:04:23,29.1833,74.7667,69.76,42,0,9.6
74,Iqaluit,CA,2021-11-28 04:02:02,63.7506,-68.5145,21.42,86,100,9.93
75,Maturin,VE,2021-11-28 04:04:23,9.75,-63.1767,72.84,97,29,4.12
76,Hambantota,LK,2021-11-28 04:02:21,6.1241,81.1185,79.14,100,75,3.44
77,Najran,SA,2021-11-28 04:04:24,17.4924,44.1277,62.02,44,1,0.63
78,Taoudenni,ML,2021-11-28 04:04:24,22.6783,-3.9836,64.71,35,23,11.14
79,Atar,MR,2021-11-28 04:04:24,20.5169,-13.0499,64.98,34,97,14.43
80,Tupaciguara,BR,2021-11-28 04:04:21,-18.5922,-48.705,67.44,90,6,2.39
81,Hamilton,US,2021-11-28 03:55:23,39.1834,-84.5333,45.23,69,86,8.25
82,Kassala,SD,2021-11-28 04:04:25,15.451,36.4,74.08,79,0,9.06
83,Natal,BR,2021-11-28 03:57:34,-5.795,-35.2094,80.82,83,20,5.75
84,Turbat,PK,2021-11-28 04:04:26,26.0023,63.044,73.96,22,0,13.85
85,Miraflores,MX,2021-11-28 04:04:26,19.2167,-98.8083,59.65,70,4,2.82
86,Robore,BO,2021-11-28 04:05:26,-18.3333,-59.75,75.97,76,17,5.37
87,Bolshaya Glushitsa,RU,2021-11-28 04:05:27,50.2406,43.5908,37.76,96,99,10.38
88,Port Blair,IN,2021-11-28 03:58:40,11.6667,92.75,86.04,74,40,8.05
89,Jardim,BR,2021-11-28 04:02:04,-21.4803,-56.1381,77.13,82,13,4.47
90,Lekoni,GA,2021-11-28 04:05:27,-1.5843,14.2591,70.57,91,98,3.42
91,Lircay,PE,2021-11-28 04:05:28,-12.9896,-74.7205,47.79,86,100,3.24
92,San Cristobal,VE,2021-11-28 04:02:52,7.7669,-72.225,65.84,90,31,1.43
93,Borovoy,RU,2021-11-28 04:05:28,55.4333,86.0833,20.48,86,90,17.9
94,Cape Town,ZA,2021-11-28 03:58:43,-33.9258,18.4232,63.01,100,75,14.97
95,Ribeira Grande,PT,2021-11-28 04:05:29,38.5167,-28.7,61.38,63,67,5.08
96,Vodnyy,RU,2021-11-28 04:05:29,63.5046,53.4095,12.9,95,100,5.7
97,Saint-Francois,FR,2021-11-28 04:05:29,46.4154,3.9054,33.24,100,90,4.61
98,Mari,BR,2021-11-28 04:05:30,-7.06,-35.3194,77.81,82,22,3.44
99,Celendin,PE,2021-11-28 04:05:30,-6.8703,-78.1517,54.79,88,100,2.98
100,Batavia,US,2021-11-28 04:05:30,41.85,-88.3126,35.4,64,1,16.11
101,Francavilla Al Mare,IT,2021-11-28 04:05:31,42.4206,14.287,55.36,58,35,16.11
102,Grand-Santi,GF,2021-11-28 04:05:31,4.25,-54.3833,72.09,99,15,2.46
103,Copiapo,CL,2021-11-28 04:05:31,-27.3667,-70.3333,55.09,43,0,1.66
104,Kontagora,NG,2021-11-28 04:05:32,10.3999,5.4695,71.37,22,96,5.26
105,Tchaourou,BJ,2021-11-28 04:05:32,8.8865,2.5975,72.03,78,100,1.54
106,Nowa Sol,PL,2021-11-28 04:05:32,51.8033,15.717,30.07,96,78,6.24
107,Korhogo,CI,2021-11-28 04:05:33,9.45,-5.6333,73.47,48,21,3.27
108,Rajampet,IN,2021-11-28 04:05:33,14.1833,79.1667,72.81,99,100,3.4
109,Quartucciu,IT,2021-11-28 04:05:33,39.2519,9.1794,49.87,93,40,2.3
110,Astaneh-Ye Ashrafiyeh,IR,2021-11-28 04:05:34,37.2596,49.9444,52.99,84,100,1.16
111,Saint Austell,GB,2021-11-28 04:05:34,50.3383,-4.7658,39.76,93,75,10.36
112,Dudinka,RU,2021-11-28 04:02:37,69.4058,86.1778,-4.23,98,100,5.5
113,Ambilobe,MG,2021-11-28 03:56:09,-13.2,49.05,79.03,75,21,4.0
114,Bathsheba,BB,2021-11-28 03:57:18,13.2167,-59.5167,81.21,78,20,14.97
115,Yenagoa,NG,2021-11-28 03:59:47,4.9247,6.2642,75.25,93,86,3.15
116,Torbay,CA,2021-11-28 04:00:17,47.6666,-52.7314,47.52,80,100,10.25
117,Maceio,BR,2021-11-28 04:05:35,-9.6658,-35.7353,80.04,83,0,2.3
